study_cd,study_title,study_content,user_id,study_limit,closed_at,study_status,created_at
1,초보자를 위한 파이썬 스터디,"함께 파이썬을 깊이 탐구해 봅시다!
이 스터디는 장춘자님이 주최했습니다.",gimyejun@naver.com,6,2025-03-23 16:52:25,open,2024-11-21 16:52:25
2,초보자를 위한 디자인 스터디,"디자인에 관심 있는 누구나 참여할 수 있습니다.
이 스터디는 조영호님이 주최했습니다.",coedoyun@daum.net,5,2025-05-13 16:52:25,open,2024-12-18 16:52:25
3,초보자를 위한 파이썬 스터디,"이 스터디는 파이썬 학습의 시작점입니다.
이 스터디는 권민지님이 주최했습니다.",lgim@naver.com,6,2025-06-03 16:52:25,open,2024-07-25 16:52:25
4,초보자를 위한 웹 개발 스터디,"이 스터디는 웹 개발 학습의 시작점입니다.
이 스터디는 김동현님이 주최했습니다.",ji@hanmail.net,10,2025-06-13 16:52:25,open,2024-09-10 16:52:25
5,심화 학습 인공지능 스터디,"인공지능에 관심 있는 누구나 참여할 수 있습니다.
이 스터디는 이유진님이 주최했습니다.",sumin07@naver.com,7,2025-01-26 16:52:25,open,2024-11-16 16:52:25
6,전문가를 위한 데이터 분석 스터디,"함께 데이터 분석을 깊이 탐구해 봅시다!
이 스터디는 민지혜님이 주최했습니다.",seoyeong10@daum.net,6,2025-03-21 16:52:25,open,2024-10-01 16:52:25
7,초보자를 위한 파이썬 스터디,"초보자도 쉽게 따라올 수 있는 파이썬 스터디입니다.
이 스터디는 김상훈님이 주최했습니다.",ihyeonu@hanmail.net,5,2025-04-26 16:52:25,open,2024-09-29 16:52:25
8,중급자를 위한 데이터 분석 스터디,"함께 배우는 데이터 분석의 기초부터 심화까지
이 스터디는 이현준님이 주최했습니다.",gangseongho@kakao.com,10,2025-05-22 16:52:25,open,2024-08-11 16:52:25
9,초보자를 위한 인공지능 스터디,"함께 배우는 인공지능의 기초부터 심화까지
이 스터디는 송영순님이 주최했습니다.",yeongsunhong@hanmail.net,9,2025-04-10 16:52:25,open,2024-07-19 16:52:25
10,중급자를 위한 수학 스터디,"함께 수학을 깊이 탐구해 봅시다!
이 스터디는 박중수님이 주최했습니다.",gimhayun@daum.net,9,2025-03-15 16:52:25,open,2024-06-29 16:52:25
