user_id,study_cd,status,joined_at,left_at
gimyejun@naver.com,1,JOINED,2024-12-05 16:52:25,
coedoyun@daum.net,2,JOINED,2024-12-22 16:52:25,
lgim@naver.com,3,JOINED,2024-12-25 16:52:25,
ji@hanmail.net,4,JOINED,2024-12-02 16:52:25,
sumin07@naver.com,5,JOINED,2024-12-17 16:52:25,
seoyeong10@daum.net,6,JOINED,2024-12-18 16:52:25,
ihyeonu@hanmail.net,7,JOINED,2024-12-18 16:52:25,
gangseongho@kakao.com,8,JOINED,2024-12-21 16:52:25,
yeongsunhong@hanmail.net,9,JOINED,2024-12-02 16:52:25,
gimhayun@daum.net,10,JOINED,2024-12-22 16:52:25,
igim@gmail.com,11,JOINED,2024-12-04 16:52:25,
ii@gmail.com,12,JOINED,2024-12-02 16:52:25,
eunyeongi@kakao.com,13,JOINED,2024-11-27 16:52:25,
jangsangho@gmail.com,14,JOINED,2024-12-08 16:52:25,
agim@kakao.com,15,JOINED,2024-12-23 16:52:25,
munjaeho@kakao.com,16,JOINED,2024-12-07 16:52:25,
coemyeongsug@hanmail.net,17,JOINED,2024-12-12 16:52:25,
minsuyang@naver.com,18,JOINED,2024-12-24 16:52:25,
seojunbag@gmail.com,19,JOINED,2024-12-25 16:52:25,
caeweongweon@naver.com,20,JOINED,2024-12-23 16:52:25,
jinho87@kakao.com,21,JOINED,2024-12-19 16:52:25,
seohyeongim@gmail.com,22,JOINED,2024-12-18 16:52:25,
minjae34@gmail.com,23,JOINED,2024-12-09 16:52:25,
egim@hanmail.net,24,JOINED,2024-12-06 16:52:25,
ubag@kakao.com,25,JOINED,2024-12-25 16:52:25,
eunjeong13@hanmail.net,26,JOINED,2024-12-08 16:52:25,
egim@naver.com,27,JOINED,2024-12-19 16:52:25,
jucaeweon@gmail.com,28,JOINED,2024-12-03 16:52:25,
gimgeonu@naver.com,29,JOINED,2024-12-05 16:52:25,
sgim@daum.net,30,JOINED,2024-12-03 16:52:25,
gimgyeongja@kakao.com,31,JOINED,2024-12-08 16:52:25,
coeyeongsug@daum.net,32,JOINED,2024-12-12 16:52:25,
gangjihu@gmail.com,33,JOINED,2024-12-18 16:52:25,
yeongil62@gmail.com,34,JOINED,2024-12-11 16:52:25,
gimsujin@hanmail.net,35,JOINED,2024-12-07 16:52:25,
ujin78@naver.com,36,JOINED,2024-12-17 16:52:25,
jangboram@daum.net,37,JOINED,2024-11-30 16:52:25,
seoseongjin@kakao.com,38,JOINED,2024-11-28 16:52:25,
migyeong40@hanmail.net,39,JOINED,2024-12-25 16:52:25,
sunogi@naver.com,40,JOINED,2024-12-01 16:52:25,
noyeongja@gmail.com,41,JOINED,2024-11-30 16:52:25,
tgim@kakao.com,42,JOINED,2024-12-20 16:52:25,
